Received message: 1, 1, J626P03, 82, 0.22,0.521, S, Home, Cobot Busy, 1
Received message: 1, 1, J626P03, 82, 0.22,0.484, S, Z-axis UP, Cobot Home, 0
Received message: 1, 1, J626P03, 82, 0.22,0.484, S, Z-axis UP, Cobot Home, 0
Received message: 1, 1, J626P03, 82, 0.22,0.484, S, Z-axis UP, Cobot Home, 0
Received message: 1, 1, J626P03, 0, 0.22,0.0, NS, Home, Cobot Home, 0
Received message: 1, 1, J626P03, 0, 0.22,0.0, NS, Home, Cobot Home, 0
Received message: 1, 1, J626P03, 0, 0.22,0.0, NS, Home, Cobot Home, 0
Received message: 1, 1, J626P03, 30, 0.22,0.0, NS, Per Rotation C-axis, Cobot Home, 0
Received message: 1, 1, J626P03, 30, 0.22,0.0, NS, Per Rotation C-axis, Cobot Home, 0
Received message: 1, 1, J626P03, 30, 0.22,0.0, NS, Per Rotation C-axis, Cobot Home, 0
Received message: 1, 1, J626P03, 30, 0.22,0.0, NS, Per Rotation C-axis, Cobot Home, 0
Received message: 1, 1, J626P03, 30, 0.22,0.0, NS, Per Rotation C-axis, Cobot Home, 0
Received message: 1, 1, J626P03, 30, 0.22,0.0, NS, Per Rotation C-axis, Cobot Home, 0
Received message: 1, 1, J626P03, 30, 0.22,0.0, NS, Per Rotation C-axis, Cobot Home, 0
Received message: 1, 1, J626P03, 30, 0.22,0.0, NS, Per Rotation C-axis, Cobot Home, 0
Received message: 1, 1, J626P03, 30, 0.22,0.0, NS, Per Rotation C-axis, Cobot Home, 0
Received message: 1, 1, J626P03, 30, 0.22,0.0, NS, Per Rotation C-axis, Cobot Home, 0
Received message: 1, 1, J626P03, 30, 0.22,0.0, NS, Per Rotation C-axis, Cobot Home, 0
Received message: 1, 1, J626P06, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P06, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P06, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P06, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P06, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P06, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P06, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P06, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P06, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P06, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P06, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P06, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P06, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
Received message: 1, 1, J626P86, 66, 1.07, 0.004, NS
